"Company","Description","Location","Comp Range","Tier","Notes"
"SpaceX","Starship, Starlink. Spacecraft controls thesis directly applicable. Most impactful space company.","LA (Hawthorne) / Texas","180-280k","1","Intense culture (60+ hrs). Highest impact. Private equity liquidity is limited."
"Relativity Space","3D-printed rockets. Trajectory planning and flight controls optimization.","LA (Long Beach)","180-260k","1","Strong culture, less intense than SpaceX."
"Stoke Space","Reusable rockets, innovative approach. Spacecraft controls directly relevant.","Seattle","160-220k + equity","1","Smaller, high-impact team."
"Skild AI","General-purpose foundation models for robotics - 'LLM equivalent for physical movement'. Team includes pioneers of self-supervised learning, sim2real, dexterous manipulation.","Pittsburgh / Remote / NYC research","200-300k + equity","1","$300M Series A, $4.5B valuation. Research Lead or Product Lead opportunities for PhD + CEO background."
"Physical Intelligence","Building foundation models for robots. Top robotics AI play.","Palo Alto","220-350k + equity","1","$400M raised, $2B+ valuation."
"Apptronik","Humanoid robots (Apollo). Google-backed.","Austin","180-250k + equity","1","$400M+ raised. Get ahead of humanoid wave. Austin is cheaper than NYC."
"Figure AI","Humanoid robots. Building own VLA model 'Helix'.","Sunnyvale","200-300k + equity","1","$675M raised."
"Anduril Industries","Autonomous systems, drones, submarines, jets, satellites. Lattice OS.","LA (Costa Mesa HQ) / DC / Seattle","220-350k","1","Palmer Luckey energy. Aerospace + AI background is perfect. Values 'Founder' energy."
"Shield AI","Autonomous aircraft. Defense contracts. GNC + AI integration.","San Diego","200-320k","1","Aerospace background directly relevant."
"DeepMind","World-class AI research. Robotics Research Team focuses on ML for robotics, deep RL.","London (HQ) / Montreal / Paris","£150-300k (~$190-380k)","1","Citations help here. Go for brand, not bank - NYC same role pays more."
"xAI","Musk's AI lab. Moving fast, less structured. Tennessee data center is major hub.","Austin / Tennessee / Seattle / London","280-450k","1","Frontier AI."
"Wayve","End-to-end learned driving. First to deploy AVs on public roads with e2e deep learning.","London","£120-200k (~$150-250k)","1","$1.3B raised (SoftBank, Microsoft, Nvidia). Uber partnership for 2026 L4."
"Google Seattle","Strong ML/AI presence. Not DeepMind but good work.","Seattle","350-550k","1","Zero state income tax - keep ~10% more than NYC/CA."
"NVIDIA","Isaac robotics platform, Cosmos, GR00T, Omniverse. Some roles remote-friendly.","Remote / Santa Clara / Seattle","350-550k","1","Seattle lab led by Dieter Fox - DeepMind level research for robotics."
"Boston Dynamics / AI Institute","Legendary robotics. Electric Atlas shipping 2026. Marc Raibert leads AI Institute.","Boston (Waltham/Cambridge)","180-280k","1","'Bell Labs of Robotics'. Hyundai-owned. PhD + Research background is exact currency."
"Amazon Robotics","Warehouse robotics at scale. Largest AMR deployment in world.","Boston (North Reading)","280-400k","1","Perfect fit for Freight/Logistics + Robotics/Optimization PhD. Principal Technologist level."
"Blue Origin","Bezos space venture. New Glenn ramping up. Lunar infrastructure focus.","Seattle (Kent)","300-400k+","1","Less intense than SpaceX. Zero state tax. Thesis directly relevant."
"Hadrian","Autonomous factories for defense manufacturing. 'Prime' version of defense mfg.","LA (Torrance)","200-300k + equity","1","$90M+ raised. Hottest employer in Torrance. Values Founder/PhD hybrids."
"Varda Space","In-orbit manufacturing. First space-made pharmaceuticals. Orbital controls/re-entry optimization.","LA (El Segundo)","","1","High-end spacecraft controls work."
"Amazon Project Kuiper","Amazon's satellite internet (Starlink competitor). Spacecraft controls + Big Tech pay.","Seattle (Redmond)","400k+ TC","1","Direct thesis application."
"Impulse Space","In-space transportation - 'tugs' that move satellites between orbits. LEO to GEO transfer optimization.","LA (Redondo Beach)","160-220k + equity","1","Founded by Tom Mueller (SpaceX propulsion legend). NOT remote - LA based. PhD in spacecraft controls is their core product."
"Vast Space","Commercial artificial-gravity space stations (Haven-1). Building own Control Moment Gyroscopes (CMGs).","Long Beach / Hybrid-Remote","","1","Backed by Jed McCaleb. 2026 goal is Haven-1. CMGs are staple of spacecraft stability research - 'Nirvana' mission fit."
"Rocket Lab","Launch provider. More mature, public company.","LA / New Zealand","180-250k","2",""
"1X Technologies","Humanoid robots. OpenAI partnership.","Norway / some US","180-260k + equity","2","Would require international move."
"Saronic","Autonomous naval vessels. Defense contracts. Growing fast.","Austin","180-260k + equity","2",""
"Vannevar Labs","Defense AI platform. Government contracts.","DC / some remote","200-300k","2",""
"Helsing","European defense AI. Strong funding.","Munich / London","€150-250k + equity","2","International option."
"Mistral AI","Top European AI lab. 'OpenAI of Europe'. Values academic rigor.","Paris","€180-300k","2","Would require EU move."
"Cohere","LLMs. Solid Canadian option.","Toronto","CAD 250-400k (~$180-290k)","2",""
