"Company","Description","Location","Comp Range","Tier","Notes"
"Google DeepMind","Robotics/Embodied AI research. RT-2 and general-purpose robotics models.","NYC (111 8th Ave)","400k-600k+","1","'Holy Grail' for robotics profile. Research Engineer roles. Large presence."
"Meta FAIR","Yann LeCun based here. Tactile Sensing, World Models, Habitat (Embodied AI simulator).","NYC (Astor Place/Village)","400k-600k+","1","1000+ citations makes you peer-level for Research Scientists."
"Microsoft Research (MSR)","World-class in Reinforcement Learning and Decision Intelligence.","NYC (Union Square)","400k+","1","Feels like a 'Lab' rather than product team. Founded by Jennifer Chayes."
"NVIDIA","Project GR00T (Humanoids), Isaac Sim, Omniverse.","NYC/Remote","400k+","1","'SpaceX of AI'. Principal Engineer role is career-making. Growing NYC presence."
"Google","Major NYC campus. DeepMind overlap possible.","NYC","400k+","1","Target specific teams, not generic SWE."
"Amazon","NYC engineering footprint. Amazon Science NYC exists. Amazon Robotics.","NYC/Remote","","2","Significant remote-friendly roles for AI and controls optimization."
"Meta","AI org is global. NYC team-fit varies.","NYC","400k+","2","AI infra, research engineering. Strong systems exposure."
"Microsoft","NYC office. Team-fit varies.","NYC","","2","Stable presence."
"Apple","Home Robotics and Embodied AI after Apple Car pivot. On-Device Intelligence and ML Infra.","NYC (11 Penn Plaza)","400k+","2","Very secretive. Hires heavily from PhD pool. 45 hrs/week, $400k, zero company risk."
"IBM Research","Strong robotics + AI + optimization.","Yorktown Heights (near NYC)","","2",""
"Datadog","Highest paying 'standard' engineering shop in NYC. Not robotics.","NYC HQ","500k/year","2","Great backup if you need to bank money for 2 years."
"AWS","AI / robotics infra.","NYC/Remote","","2","Financially excellent, strong systems exposure."
"Google Cloud AI","Cloud AI platform.","NYC","","2","Less direct robotics path."
"Uber","Logistics/Optimization teams.","NYC Hub","","3","Relevant to PhD but less robotics-focused."
"DoorDash","Logistics/Optimization teams.","NYC Hub","","3","Relevant to PhD but less robotics-focused."
"Nanotronics","AI-driven nanotech microscopy and industrial inspection.","BNY (Bldg 20)","","1","Growth (Thiel-backed). Physics/AI intersection; massive hardware footprint."
"Nuro","L4 autonomous driving stacks. Licensing to partners.","NYC (Testing)","","2","Growth ($2B+). Ex-Apple/Lyft; recent Uber/Lucid partnership; testing in NYC."
"Vannevar Labs","Defense AI platform for national security. Agentic AI for DoD.","Hudson Yards NYC","","2","Series B ($91M), $1.5B valuation. Profitable. $80M run-rate revenue."
"Dataiku","Universal AI Platform for enterprise ML/analytics.","NYC office","","2","Series F ($200M), $4.6B valuation. 1,100+ employees."
"Strata Critical Medical","eVTOL/UAM logistics (formerly Blade).","NYC (Manhattan)","","3","Public (NASDAQ: SRTA). More logistics than engineering."
