"Company","Description","Location","Comp Range","Tier","Notes"
"Anthropic","AI safety research lab. Remote-first with ~25% office time expected.","SF HQ, NYC office","","1","Growing NYC roles."
"OpenAI","Leading AI lab. Growing presence in Embodied AI - looking for controls experts.","NYC (Broadway)","","1","Looking to bridge GPT models with physical hardware."
"Hugging Face","Center of the AI world. Le Robot initiative and robotics lab expanding.","NYC HQ (Brooklyn/DUMBO)","","1","Very founder-friendly culture. Lead open-source robotics movement."
"Palantir","Forward deployed AI/infra. Gotham team deals with physical world data.","NYC","","1","Very high engineering bar. Public company."
"Anduril Industries","Defense tech - 'Apple of Defense'. Lattice OS and autonomous air/space vehicles.","NYC (Nomad)","250k-350k TC","1","Growing NYC engineering hub. High-intensity culture but good pay and prestige."
"Scale AI","Data/infra for autonomy. Federal (Donovan) and Robotics teams.","NYC (Union Square)","","1","Moving heavily into data-flywheel for embodied AI. Recruiting heavily for new NYC office"
"Altana AI","'Google Maps for the Global Supply Chain'. Knowledge Graph and Reasoning Agents.","NYC HQ","","1","~$1B valuation, Series C. Great fit for freight/logistics background."
"Jane Street","Quant trading. Loves PhDs who think from first principles.","NYC HQ (Brookfield Place)","500k+","1","Surprisingly good WLB for the pay. Family-friendly."
"Two Sigma","'Google of Finance'. Very academic culture, many GT/MIT/Stanford PhDs.","NYC HQ (SoHo)","500k+","1","Good 50-hour balance."
"Hudson River Trading","Best tech culture in finance. Hires robotics experts for low latency and optimization.","NYC HQ (3 WTC)","500k+","1","HRT."
"Citadel Securities","Highest comp floor. High intensity.","NYC","500k+","1","Fastest path to generational wealth if that's the goal."
"D.E. Shaw Research (DESRES)","Custom supercomputers (Anton) for molecular dynamics simulation. Hard engineering + science.","NYC","500k+","1","Hidden gem. Pays like hedge fund, feels like national lab. PhD optimization is direct asset."
"Honeybee Robotics","Space Robotics Division of Blue Origin. Drills for Mars, actuators for satellites.","Brooklyn (Navy Yard)","","1","Acquired by Blue Origin 2022. Closest thing to 'JPL in NYC'. Corporate-tier stability/benefits with cool work."
"Aetherflux","Space-based Solar Power & Orbital Data Centers. Building 'The Galactic Brain' - satellite constellation for orbital AI compute.","NYC (Hell's Kitchen/Midtown) + CA Engineering","","1","Founded by Baiju Bhatt (Robinhood co-founder). Hiring 'Founding' level engineers. Direct hit for spacecraft controls PhD."
"Lux Capital","Deep Tech VC. Kings of NYC Deep Tech. EIR/Founder-in-Residence opportunities.","NYC","","1","Josh Wolfe. Portfolio includes Hadrian, Viam. If you get EIR here, you are 'anointed' for next startup."
"FirstMark Capital","NYC-focused VC. Hosts 'Data Driven NYC' and 'AI NYC' meetups.","NYC","","2","Great for building NYC network. Strong early-stage focus."
"Databricks","Data/AI platform.","NYC (Bryant Park)","","2","Strong presence."
"AlphaSense","AI product org. Good comp, less robotics.","NYC HQ","","2",""
"Mistral AI","French AI lab. Looking for 'cracked' engineers (high output, low ego).","NYC presence","","2","NYC engineering outpost growing."
"Poolside","LLMs for software engineering.","NYC/Remote","","2","Very high cash comp."
"Cohere","Enterprise LLMs. Main competitor to OpenAI/Anthropic for enterprise.","NYC office","","2","Series C/D. Growing technical team in NYC."
"Schrödinger","Physics-based software for drug discovery. Heavy on optimization and simulation.","NYC HQ","","2","Public. Very stable, academic culture (lots of PhDs)."
"Einride","Autonomous electric trucking. Swedish company.","NYC office (Meatpacking)","","2","Series C. Bridges robotics (AV) and freight."
"Applied Intuition","Simulation and infrastructure for autonomous vehicles/robotics. 'Palantir of autonomy'. Moving into Defense and Space.","NYC (NoMad office)","400k-600k TC","1","$6B-$15B valuation. Need people who understand physics of controls (GNC) to build high-fidelity simulators."
"Shield AI","Autonomous Defense - GNC (Guidance/Nav/Control) + AI integration.","NYC (Nomad)","","2","High-end autonomy work."
"Modal","AI infrastructure.","NYC","","2",""
"Jump Trading","Quant trading.","NYC presence","","2",""
"Cubist / Point72","AI Researchers to predict markets.","NYC","600k+ first year","2","Willing to study probability for 2 weeks."
"Skydio","Autonomous drones.","Remote (some NYC)","","3","Some remote autonomy teams."
"Anyscale","Ray distributed computing.","Remote-friendly","","3","Some NYC presence."
"Weights & Biases","ML experiment tracking.","Remote-friendly","","3",""
"Replicate","ML model deployment.","Remote-friendly","","3",""
"Sea Machines Robotics","Autonomous command/control for commercial shipping.","Boston / NYC","","2","Series B ($30M+). Maritime autonomy at scale."
"Amogy","Ammonia-to-power for maritime/aerospace propulsion.","BNY (Bldg 303)","","2","Series B ($150M+). Deep hardware; rapidly scaling."
"Machina Labs","Robotic arms for sheet-metal forming (aerospace parts).","NYC + LA","","2","Series B ($32M). Robotics + aerospace manufacturing."
